CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.055,0.025,0.45,392.15392384249594,423.9081720280048,187.1953759753096,196.71257792248957,80.07773469590377,83.38860375918091,72.75248860333934,69.61307174895104,52.12832456794322,74.19391859738329,763.9395051442715,785.983375077695,1961.6238836381258,2091.8702241533247
0.035,0.0275,0.45,357.4520651312871,386.2433948945713,169.3277964034637,177.23254647184228,71.0314947611374,73.50578985082456,68.6961711951013,65.09741917763462,48.396602771584696,70.40763939426984,772.0611643889881,792.817531159287,1836.9000719151884,1953.228884783581
0.04,0.0275,0.45,364.64003263318875,396.55320519536247,173.12462624804638,183.3309425660077,73.1501001680775,76.64327648991538,69.1257833559443,65.39943121243158,49.23952286112057,71.17955492700779,787.6191846714025,809.4970218210603,1880.7832487842388,1998.0068525722334
0.045,0.0275,0.45,372.136950212749,405.4162602910499,176.70600337193616,187.52543383032207,74.83615497984808,78.64595342632838,70.52895145542273,67.2475151180348,50.065840405542055,71.99735791636463,803.2333375738025,825.4195125695647,1922.779223081982,2043.0255961369085
0.05,0.0275,0.45,381.95187535984496,412.57337624696936,182.60183818978047,191.46305595038524,77.68000715503342,80.67283300963972,70.7931211246958,67.68413723000698,50.87690889033527,72.75335005693742,819.8070943909502,841.4006572477344,1965.7413947916061,2088.4461165339367
0.055,0.0275,0.45,390.353543533914,420.35626721518463,186.30190070103723,195.2158622532837,79.53085420727302,82.58004837686927,72.85898129650127,69.07205025552544,51.661807329102466,73.48830632950627,834.2558089626987,857.0859028351864,2004.8411222984553,2133.077012616871
0.035,0.03,0.45,356.0057120261506,384.14890311448374,168.62194423935642,176.35022827699126,70.69853133848025,73.00957989378831,68.69405063934299,65.07021025970387,47.99118580897096,69.71888468400034,836.7371222869177,859.2591798644821,1876.6928902476348,1993.6592742610717
0.04,0.03,0.45,361.63517852610426,394.4137583116128,171.80917343751656,182.45827415158524,72.4172850532811,76.10824263232968,68.5859521503803,65.37240482171657,48.82276788492631,70.47483670598126,852.4851629367677,877.3395532871189,1919.0625419870191,2038.1045529370292
0.045,0.03,0.45,373.52960456193057,402.31632893250503,178.0487610248098,186.1907156215579,75.35377431050819,77.96688805665384,70.48923881968085,66.8748520885536,49.63783040693171,71.28387316573966,871.2572788325996,893.9881462427151,1964.5616121298208,2084.587253313542
0.05,0.03,0.45,380.3807928039205,409.4903842046039,181.79245519885436,190.181757141195,77.3587521241555,80.10571964109494,70.80055434637997,67.17261227179482,50.42903113453063,72.03029515051917,887.8497764302507,910.9558841359194,2006.178447324627,2129.717054253089
