candidate,draw,sf_x,sf_y,mass_delta_lbf,Total_Points,DragEnergy_Endurance_kJ
unconstrained_best,37,0.42319944250092345,0.5352919994454528,-12.63990724095127,481.4398644843159,510.8248871632509
unconstrained_best,38,0.48612879708193596,0.471721130352149,3.3293936207968713,-621.0670462690957,0.0021315966546562913
unconstrained_best,39,0.42454334316766756,0.48151827471434316,-8.05010315707627,414.0373083287527,474.86143776464604
baseline_T26,0,0.416571318249228,0.45330746873774286,-7.255774444362349,392.8823254512749,638.2448165626755
baseline_T26,1,0.44993500761961036,0.47007689541612196,14.34903411942651,432.8935861249197,663.6472737015744
baseline_T26,2,0.4591348521861022,0.484574787375564,13.230179839543045,455.500579077126,683.9723058360521
baseline_T26,3,0.40758201075347505,0.4968908163422485,-4.779414724304727,442.6640432184414,682.6886746084617
baseline_T26,4,0.4183133476119711,0.5406134338895561,-1.91995489223007,505.8943374104917,729.5300929165082
baseline_T26,5,0.4885389920664333,0.5197361088736299,-5.570411138884413,525.1438360399092,745.7416512551888
baseline_T26,6,0.4113378518538777,0.48393206607424455,7.395267519162317,425.19236625850215,664.0612141369922
baseline_T26,7,0.4166796554459368,0.4516877215097498,-13.799606923404292,392.69127228257827,639.7183671629084
baseline_T26,8,0.4903495607962598,0.4659823694104981,-12.976832007239217,-618.0990966452723,0.0030043030288052328
baseline_T26,9,0.4609695233516745,0.5496435875539671,-2.8788723759478128,543.4448439883282,760.5047011019997
baseline_T26,10,0.4382093811356812,0.4959715979893185,-7.6471784665780795,464.39997083874766,698.7226958564811
baseline_T26,11,0.4510251019622937,0.5191039916318759,10.356749451036805,494.0637458783459,719.3233171214489
baseline_T26,12,0.46465586572651196,0.4554668061401838,7.254212894258703,424.70437544597314,656.3973697849309
baseline_T26,13,0.4297777934185017,0.45340502789470377,1.3738194756887019,399.15001747475407,640.6847226358008
baseline_T26,14,0.417417126558026,0.5345890106445058,4.8442654294050165,492.6861660791763,719.5759345588632
baseline_T26,15,0.4759235635053593,0.5087881940666861,5.7683732005477175,501.0353535061795,722.3886614501673
baseline_T26,16,0.46533245256922356,0.4808709743204562,8.431644701950262,459.60882752398385,685.4623403481678
baseline_T26,17,0.4511144082134845,0.48173766382813377,12.82507791347048,448.5128485592787,677.8228242461316
baseline_T26,18,0.4785062792372693,0.4589237254417749,-10.50794478636801,-623.6012494665557,0.0031811986095433282
baseline_T26,19,0.4544167741983024,0.46726696011085755,3.783904732361446,432.52772959995406,666.957113555257
baseline_T26,20,0.49328222753675754,0.45245861074651866,-10.691356706599347,-621.7359572127699,0.0034486658865909322
baseline_T26,21,0.42340585151970406,0.5339124848372783,-1.7060717614590928,499.08114543015773,725.9900858284607
baseline_T26,22,0.45483573265787053,0.49663031972031657,8.58854365871196,471.0583549478468,698.573658121861
baseline_T26,23,0.44852622272310494,0.46272029160585304,11.840933810584364,423.75206630655117,656.3843496565969
baseline_T26,24,0.43679473695544035,0.5239246874033693,7.77684462373589,491.24283038202583,718.5805611314337
baseline_T26,25,0.45824357735541393,0.4695652829945321,-13.937753877552188,446.39088637662144,680.7284996947178
baseline_T26,26,0.42617711085008225,0.4561920235148453,-4.217637706986698,404.4790722468514,645.3240715221461
baseline_T26,27,0.4771982415400636,0.5098392107324039,-10.108295027354133,508.88301034458823,733.1171281909413
baseline_T26,28,0.48306001966581735,0.5395757751741282,14.964074628972053,538.7936786942645,751.2200515378315
baseline_T26,29,0.4165883704105066,0.4526943411384703,-10.679539271098879,393.4629072915434,639.5964383965356
baseline_T26,30,0.44703658860644446,0.530513598989167,-7.670566714605512,512.1392600244073,739.0453053411449
baseline_T26,31,0.42994304032803343,0.4690170016728341,-4.283408616614189,422.2968103324784,662.1518608140972
baseline_T26,32,0.41248052979617184,0.4592901421636547,-13.17339891272436,399.2826661078214,646.3209333901141
baseline_T26,33,0.4856349877425331,0.4517962035652556,11.111547511300014,-626.6827250407796,0.0037011574715487025
baseline_T26,34,0.4436953822843052,0.47929750670120863,4.090842655893727,444.0797189854735,676.3743863907131
baseline_T26,35,0.4182922169965885,0.5227111743981918,-10.207552801247402,486.2901335657489,718.4852677513468
baseline_T26,36,0.465602612154832,0.4993178951008117,-0.05194326862349463,484.51192525165175,710.9774426623359
baseline_T26,37,0.42319944250092345,0.5352919994454528,-12.63990724095127,508.18396263370937,734.9063113523199
