AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.050_CD_0.015_CoP_0.400,0.05,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,135
CL_0.060_CD_0.015_CoP_0.400,0.06,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,136
CL_0.070_CD_0.015_CoP_0.400,0.07,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,137
CL_0.080_CD_0.015_CoP_0.400,0.08,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,138
CL_0.090_CD_0.015_CoP_0.400,0.09,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,139
CL_0.100_CD_0.015_CoP_0.400,0.1,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,140
CL_0.110_CD_0.015_CoP_0.400,0.11,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,141
CL_0.120_CD_0.015_CoP_0.400,0.12,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,142
CL_0.130_CD_0.015_CoP_0.400,0.13,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,143
CL_0.140_CD_0.015_CoP_0.400,0.14,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,144
CL_0.040_CD_0.020_CoP_0.400,0.04,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,145
CL_0.050_CD_0.020_CoP_0.400,0.05,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,146
CL_0.060_CD_0.020_CoP_0.400,0.06,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,147
CL_0.070_CD_0.020_CoP_0.400,0.07,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,148
CL_0.080_CD_0.020_CoP_0.400,0.08,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,149
CL_0.090_CD_0.020_CoP_0.400,0.09,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,150
CL_0.100_CD_0.020_CoP_0.400,0.1,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,151
CL_0.110_CD_0.020_CoP_0.400,0.11,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,152
CL_0.120_CD_0.020_CoP_0.400,0.12,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,153
CL_0.130_CD_0.020_CoP_0.400,0.13,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,154
CL_0.140_CD_0.020_CoP_0.400,0.14,0.02,0.4,Lap_Sim_constantAero_T27.m not found.,155
CL_0.040_CD_0.025_CoP_0.400,0.04,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,156
CL_0.050_CD_0.025_CoP_0.400,0.05,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,157
CL_0.060_CD_0.025_CoP_0.400,0.06,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,158
CL_0.070_CD_0.025_CoP_0.400,0.07,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,159
CL_0.080_CD_0.025_CoP_0.400,0.08,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,160
CL_0.090_CD_0.025_CoP_0.400,0.09,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,161
CL_0.100_CD_0.025_CoP_0.400,0.1,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,162
CL_0.110_CD_0.025_CoP_0.400,0.11,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,163
